,title,revenue,user_rating,votes,year,source,genre,director,runtime_in_minutes
6,Belle Vie (page does not exist),0.45,100,Fewer than 50 Ratings,2022,RT,Documentary,['Marcus Mizelle'],77
24,Brother's Keeper (2022 film) (page does not exist),6.0,100,Fewer than 50 Ratings,2021,RT,Drama,['Ferit Karahan'],85
143,The Departure (2017 film),0.01,100,100+ Ratings,2017,RT,Documentary,['Lana Wilson'],87
13,The Innocent (2022 film),5.38,100,Fewer than 50 Ratings,2022,RT,Comedy,['Louis Garrel'],100
116,The Woman Who Loves Giraffes (page does not exist),0.39,100,Fewer than 50 Verified Ratings,2018,RT,Documentary,['Alison Reid'],83
71,The Penny Black (page does not exist),1.05,100,Fewer than 50 Ratings,2020,RT,Documentary,['Joe Saunders'],98
149,"Sammy Davis, Jr.: I've Gotta Be Me (page does not exist)",0.01,100,Fewer than 50 Ratings,2017,RT,Documentary,['Samuel D. Pollard'],100
78,Everybody's Everything (film),0.85,99,100+ Verified Ratings,2019,RT,Documentary,"['Sebastian Jones', 'Ramez Silyan']",116
103,Emanuel (film),1.51,98,250+ Verified Ratings,2019,RT,Documentary,['Brian Tetsuro Ivie'],80
317,The Sorrow and the Pity,103.82,97,"1,000+ Ratings",1969,RT,Documentary,['Marcel Ophüls'],259
350,12 Angry Men (1957 film),,97,"100,000+ Ratings",1957,RT,Drama,['Sidney Lumet'],95
105,5B (film),1.56,97,Fewer than 50 Verified Ratings,2018,RT,Documentary,"['Dan Krauss', 'Paul Haggis']",95
286,Shoah (film),289.4,97,"1,000+ Ratings",1985,RT,Documentary,['Claude Lanzmann'],561
16,Stutz (film),0.14,97,"1,000+ Ratings",2022,RT,Documentary,['Jonah Hill'],96
356,Seven Samurai,37.58,97,"50,000+ Ratings",1954,RT,Action,['Akira Kurosawa'],208
292,Stop Making Sense,25.63,97,"5,000+ Ratings",1984,RT,Documentary,['Jonathan Demme'],88
79,Inmate 1: The Rise of Danny Trejo (page does not exist),0.85,96,Fewer than 50 Ratings,2019,RT,Documentary,['Brett Harvey'],110
91,Rewind (2019 film),0.07,96,50+ Ratings,2019,RT,Documentary,['Sasha Neulinger'],86
310,Winter Soldier (film),,96,250+ Ratings,1972,RT,Documentary,[],95
11,This Much I Know to Be True,5.38,96,Fewer than 50 Ratings,2022,RT,Documentary,['Andrew Dominik'],105
321,Cool Hand Luke,82.38,95,"50,000+ Ratings",1967,RT,Drama,['Stuart Rosenberg'],129
360,The Wages of Fear,80.01,95,"5,000+ Ratings",1953,RT,Mystery &amp; thriller,['Henri-Georges Clouzot'],156
263,La haine,19.04,95,"25,000+ Ratings",1995,RT,Drama,['Mathieu Kassovitz'],98
64,Suzi Q (film) (page does not exist),1.05,95,Fewer than 50 Ratings,2020,RT,Documentary,['Liam Firmager'],98
351,Night and Fog (1956 film),,95,"5,000+ Ratings",1956,RT,Documentary,['Alain Resnais'],32
418,M (1931 film),13.19,95,"25,000+ Ratings",1931,RT,Mystery &amp; thriller,['Fritz Lang'],99
282,Grave of the Fireflies,,95,"50,000+ Ratings",1988,RT,Drama,['Isao Takahata'],88
